value_type,row_type,case,run,metric,scope,publisher,n,median,p95,p99,min,max,mean,std,k_runs,median_mean,median_ci95_low,median_ci95_high,p95_mean,p95_ci95_low,p95_ci95_high,p99_mean,p99_ci95_low,p99_ci95_high,mean_mean,mean_ci95_low,mean_ci95_high,std_mean,std_ci95_low,std_ci95_high,min_mean,min_ci95_low,min_ci95_high,max_mean,max_ci95_low,max_ci95_high,n_mean
raw,per_run,baseline,baseline_005,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,119.0,0.008821487426757812,0.013422966003417965,0.019378662109374993,0.00476837158203125,0.028848648071289062,0.009122015047474067,0.0030931104484093405,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_005,SV_rate_pkts_per_sec,aggregated,ALL,1.0,,,,,,39.696566341326,,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,SV_interarrival_ms,publisher,00:30:a7:00:00:03,2373.0,50.157785415649414,50.42276382446289,62.72507667541505,50.07362365722656,112.86354064941406,50.515735295067046,3.0430116641782754,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,SV_interarrival_ms,publisher,b4:b1:5a:00:00:02,2374.0,50.14598369598389,50.40702819824219,59.52143669128418,50.06265640258789,124.92632865905762,50.49496733449343,3.068883080740416,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,SV_interarrival_ms,aggregated,ALL,4747.0,50.15063285827637,50.412702560424805,61.437025070190415,50.06265640258789,124.92632865905762,50.505349127297556,3.055995117456261,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,GOOSE_interarrival_ms,publisher,00:30:a7:00:00:04,117.0,1010.0052356719971,1017.3044204711914,1020.0260066986084,1004.9185752868652,1020.082950592041,1010.4521482418745,3.569286212757275,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,GOOSE_interarrival_ms,publisher,b4:b1:5a:0a:b4:01,117.0,1010.0133419036865,1018.5225963592529,1032.8602504730225,1005.3637027740479,1037.604808807373,1010.7173247215076,4.857916457348705,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,GOOSE_interarrival_ms,aggregated,ALL,234.0,1010.0116729736328,1018.0704712867737,1022.9693579673767,1004.9185752868652,1037.604808807373,1010.584736481691,4.264640410271061,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,GOOSE_uplink_to_hmi_latency_ms,aggregated,ALL,118.0,0.0069141387939453125,0.011861324310302724,0.016050338745117188,0.004291534423828125,0.0171661376953125,0.00754049268819518,0.002175818563709085,,,,,,,,,,,,,,,,,,,,,,,
raw,per_run,baseline,baseline_006,GOOSE_delivery_ratio,aggregated,ALL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
